Country_Wave,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MDA,,,,,,,,,,,,,,,,,,,,11.53022,11.50311,11.52325,11.68865,11.76667,11.80784,11.8731,,,
PRI,,,,,,,,,,,,,,,11.09852,11.1374,10.59461,10.89693,11.21265,11.50607,12.18821,11.2537,,11.63667,,,,,11.82811
HUN,11.48903,11.74616,11.90931,11.55595,11.63501,11.76735,11.88942,11.98857,12.16129,11.78479,11.87689,11.90864,11.90989,11.96531,12.04127,12.17495,12.21384,12.10567,12.4414,12.388,12.25295,12.15388,12.1673,12.08197,12.00457,11.97581,11.95347,12.27452,
BGD,,,,,,,,,,,8.23589,8.26733,8.24671,7.95665,8.35619,8.54562,,,9.83321,,,10.43784,9.97921,10.31363,,10.7683,10.69836,10.9062,10.60256
HKG,,11.1815,,,,,11.59947,11.75413,11.79403,11.78946,11.90603,11.96528,12.1193,12.30059,12.44478,12.56576,12.53435,12.9314,12.61525,12.64713,12.72546,12.57619,12.56535,12.61119,12.43234,12.39126,12.46546,12.26342,11.78574
COL,9.69918,10.14763,,10.55868,10.5271,10.87047,,10.83226,,11.18082,11.56618,11.8061,12.01573,12.09576,12.46365,12.33737,12.23596,11.80675,11.89241,11.66594,11.63618,11.6638,11.59195,11.57521,11.54828,11.40066,11.45955,11.29565,
ESP,13.51352,13.59014,13.38587,12.80774,12.67088,12.80123,12.91042,12.97884,12.92342,12.94025,13.01183,12.95756,12.94049,12.89419,12.90369,13.13045,13.28094,13.38273,13.4326,13.40308,13.41186,13.38187,13.30309,13.27065,13.25396,13.20666,13.29932,13.26429,
SVN,11.19243,11.24439,11.42169,11.53747,12.05149,12.16907,12.71218,12.87794,13.20091,12.7473,12.76538,12.76115,12.7201,12.77034,12.74883,12.74471,12.73543,12.74088,13.64207,13.45675,13.4479,13.75224,13.759,13.80516,13.71345,13.66228,13.5262,13.59067,
PHL,9.52919,9.85194,9.79858,9.87505,9.91537,,9.83835,9.94188,9.96608,9.94042,9.82559,9.59618,9.534,9.64414,9.91018,,,,,10.09964,10.0708,9.93194,10.4666,10.85253,11.02143,11.141,10.70166,11.16399,11.19535
PAK,,,,,,,,,4.67014,5.00571,5.24428,5.40084,5.75154,5.75321,5.76024,5.81388,5.66051,5.7112,5.74399,6.01717,6.30542,6.65533,6.57174,6.88008,7.0647,,7.32512,7.24457,
