"Country_Wave","A001","A002","A003","A004","A005","A006","D057","D059","D060","F115","F116","F117","F118","F119","F120","F121","F122","F123","E114","E115","E116","E117","E012","E015","E016","E018","E023","E025","E026","E027","E028","E033","E035","E036","E037","E039","E040","B008"
"ALB3",1.04426559356137,1.94650205761317,2.57305699481865,3.09876543209877,1.24570273003033,2.26024590163934,2.83904465212876,2.30844155844156,3.04197271773347,2.14856557377049,2.31769722814499,2.4229576008273,1.78490990990991,1.97805642633229,5.74139728884254,5.87631027253669,3.14026602176542,2.11331133113311,2.51955990220049,1.76976744186047,1.77828571428571,1.21766561514196,0.813583815028902,2.81451612903226,1.20644511581067,1.6226034308779,2.79011099899092,2.1187648456057,2.5823754789272,2.02009456264775,2.96153846153846,5.06948968512486,4.88004136504654,3.59429153924567,7.06237424547284,3.30541368743616,2.90909090909091,1.57060849598163
"ALB4",1.04709418837675,1.85599194360524,2.4553752535497,2.95607763023493,1.24064711830131,2.26605504587156,2.57958687727825,2.47007616974973,3.2,2.3477366255144,1.88324873096447,2.37903225806452,1.48062827225131,1.40752032520325,3.87731958762887,4.37040816326531,3.153125,1.70701932858596,3.18252212389381,1.93571428571429,3.46145374449339,1.41170212765957,0.717477003942181,2.696,1.412,1.719,2.73446893787575,2.12647058823529,2.65610859728507,1.98982188295165,2.91121495327103,5.34071729957806,5.95939086294416,3.8480749219563,6.40301507537688,2.9729448491155,NA,1.56257046223224
"AND5",1.13958125623131,1.59240759240759,1.54735792622134,2.86472945891784,1.60685483870968,3.034,2.5521472392638,3.14547304170905,3.34434434434434,2.87863590772317,2.42357642357642,1.4034034034034,8.24196787148594,5.63490471414243,7.02507522567703,8.72945891783567,7.47738693467337,3.82880161127895,3.44874476987448,2.31132075471698,3.63045685279188,1.54628687690743,0.410860655737705,1.55744255744256,1.53467336683417,1.81626506024096,2.77844311377246,1.50801603206413,2.50557244174265,1.77989949748744,NA,4.63885839736553,6.14357429718875,4.88469387755102,6.35864135864136,4.42342342342342,5.71514543630893,1.22952477249747
"AND7",1.11553784860558,1.53585657370518,1.42131474103586,2.94011976047904,1.52594810379242,2.96506986027944,2.56737588652482,3.33299697275479,3.55244755244755,1.88822355289421,1.67632367632368,1.30569430569431,8.02502502502503,4.73493975903614,6.07407407407407,8.244,6.18630412890232,3.638,3.16950852557673,2.36427850655903,3.66395112016293,1.3186372745491,0.448551448551449,1.8021978021978,1.66366366366366,1.60960960960961,2.68172690763052,1.645,2.57427716849452,2.05483549351944,2.34965034965035,4.85761226725082,6.14243027888446,5.06287425149701,6.53339980059821,3.13247011952191,4.5752741774676,1.34454638124363
"ARG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31199068684517,2.25844004656577,1.40728100113766,2.21908127208481,2.09929906542056,3.13182897862233,4.86842105263158,1.6626936829559,1.54929577464789,NA,NA,NA,NA,0.593464052287582,1.74613003095975,1.57572614107884,1.65109034267913,2.72389558232932,1.93452380952381,2.74877450980392,2.22792362768496,2.66176470588235,5.26182965299685,NA,NA,NA,NA,NA,NA
"ARG2",1.10179640718563,1.65697091273821,1.89001009081736,2.95180722891566,1.28413654618474,2.09638554216867,2.24526198439242,NA,NA,2.0978809283552,1.64141414141414,1.10141987829615,2.95383001049318,2.1358024691358,3.40142276422764,5.77119509703779,3.17584745762712,1.69811320754717,NA,NA,NA,NA,0.630026809651475,2.53193612774451,1.30439121756487,1.40518962075848,3.03896103896104,2.22698744769874,2.84088514225501,2.48920863309353,2.74399164054336,5.45744680851064,7.00515463917526,3.91367713004484,4.97169811320755,3.40233545647558,4.82302771855011,NA
"ARG3",1.14272474513438,1.68616527390901,2.02712815715622,2.96071094480823,1.3401297497683,2.05981308411215,2.27744510978044,2.69836400817996,3.02378686964795,2.46822429906542,2.05312208760485,1.3544776119403,4.30237358101135,3.43243243243243,3.29115128449096,5.78011472275335,3.78821178821179,2.11747851002865,2.99795918367347,2.5615141955836,3.397,1.58581016299137,0.669851380042463,2.45302325581395,1.47521047708138,1.47141518275539,3.08100558659218,1.99609756097561,2.8620019436346,2.40190476190476,2.79027645376549,5.68807339449541,5.95553453169347,5.07517309594461,5.70380952380952,3.90018832391714,5.05183788878417,1.70461236506379
"ARG4",1.11806098514464,1.71518987341772,1.90119521912351,3.13432835820896,1.31628638867034,1.90330188679245,2.06101694915254,2.8,3.11038961038961,2.42733017377567,1.88425196850394,1.26550079491256,4.33767361111111,3.37871287128713,2.62094155844156,5.46029173419773,4.06734867860188,1.99172870140612,2.78178539224527,2.4995374653099,3.31421006178288,1.69397993311037,0.645640074211503,2.46408839779006,1.44408945686901,1.35748407643312,3.24822134387352,2.23344370860927,2.88803418803419,2.50325203252033,2.79459901800327,6.00344827586207,4.89911218724778,5.656,6.67285945072698,4.17191283292978,NA,1.71099744245524
"ARG5",1.11111111111111,1.56927710843373,1.78002018163471,2.93454179254783,1.35270541082164,2.16096579476861,2.21724137931034,2.82981090100111,3.18997912317328,2.56404958677686,1.70195272353546,1.42988741044012,5.58657243816254,4.2271186440678,3.3554347826087,6.73218142548596,4.24632352941176,2.29770114942529,2.86167512690355,2.71464330413016,3.46763392857143,1.5474372955289,0.579006772009029,2.42613065326633,1.47035175879397,1.27318548387097,3.13810483870968,2.01420765027322,2.76897689768977,2.21344717182497,NA,5.52608695652174,5.32854209445585,6.9453125,6.08875128998968,4.711157455683,4.98770491803279,1.30603448275862
"ARG6",1.12354085603113,1.57003891050584,1.8701171875,2.88090551181102,1.58045409674235,2.45158102766798,2.43392299687825,2.93047034764826,3.17068273092369,2.53134328358209,1.84797630799605,1.60237388724036,5.87839305103149,3.61514195583596,3.7906976744186,6.86506276150628,NA,2.43944265809218,2.60589519650655,2.52092511013216,3.54140127388535,1.49896480331263,0.443956043956044,2.36139630390144,1.56352459016393,1.51085832471562,2.86489151873767,2.14772727272727,2.73396424815983,2.22461538461538,2.340625,5.34499396863691,4.74668028600613,6.21290322580645,6.1158221302999,4.71001031991744,4.21641025641026,1.43120260021668
"ARG7",1.09172482552343,1.54137587238285,1.80980980980981,2.80719280719281,1.46840521564694,2.39393939393939,2.38713195201745,3.13764337851929,3.25356415478615,3.04964539007092,2.14111675126904,1.87575757575758,6.02341137123746,3.91947769314472,3.63025210084034,6.53059071729958,3.85763490241102,2.6627408993576,2.32803632236095,2.38628571428571,3.46227417640808,1.42651593011305,0.611392405063291,2.44386694386694,1.64724245577523,1.41419491525424,2.82948846539619,2.09853249475891,2.7328990228013,2.23789473684211,2.23452768729642,5.89842805320435,5.56530612244898,6.10526315789474,5.98130841121495,4.73872950819672,4.69025641025641,1.58305084745763
"ARM3",1.15755143000502,1.64741336012054,2.08965163934426,2.52612704918033,1.39669007021063,2.17978723404255,2.01989528795812,1.8305351521511,2.55212765957447,3.70926680244399,3.67728674203494,2.13455657492355,2.02627345844504,1.99530516431925,4.51873981531776,4.88841430859584,4.24110671936759,2.29063509149623,2.4463401210787,2.44444444444444,3.21018418201517,1.89553072625698,0.803623611922852,2.45578947368421,1.2,1.40032068412614,2.46825799898426,2.25193199381762,2.54075235109718,2.15329218106996,2.51483602290474,5.39163498098859,6.39601885804086,6.16954314720812,7.47336683417085,4.06891191709845,5.10871794871795,1.57472590882862
"ARM6",1.032021957914,1.76438356164384,1.95903165735568,2.91216834400732,1.37338262476895,1.53139217470428,2.46153846153846,2.25800376647834,3.02201834862385,1.61756633119854,2.03030303030303,1.43864468864469,1.12717291857274,1.17137648131267,2.4280193236715,3.0122641509434,2.09775171065494,1.29879740980574,2.32773109243697,2.64827586206897,2.9,1.54471544715447,0.762303664921466,2.70144927536232,1.42912246865959,1.52651880424301,2.94272727272727,2.67768595041322,2.87764489420423,2.70905763952425,2.83102493074792,5.68682170542636,5.77428307123034,6.26988636363636,8.01378676470588,3.36666666666667,3.8886827458256,1.58016032064128
