Country_Wave,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARG,9925.99540713377,10532.7432102692,11445.4510864597,11881.2989596346,11508.1570461924,11544.408971054,11160.5678020884,9991.38212425664,10975.1282355658,12163.7828857743,13515.2278784799,14898.1981668952,16513.1538593529,17341.267103698,16249.8884353332,18066.4991325769,19322.2271236942,19629.898037089,20108.2057008715,19649.3528905429,20058.3386388829,20248.7213872191,23514.6670870249,24498.378926706,23535.01275094,22302.1504890016,26086.8023552274,29037.4891215021
AUS,21038.6667853022,22132.1929034356,23124.9639117233,24378.2453109245,25485.39144594,26541.6653208437,27645.8140289701,29032.4909555888,30121.8184177337,31763.7960926854,33036.5834770249,34846.7156302418,36653.8417179443,37532.9990434133,40312.3951186945,39374.6321044163,42025.4645815618,42866.6043295085,45936.049310436,46914.3867078836,46292.0954391179,47289.2859136343,48418.558421681,50251.3353381469,52746.7182896307,54064.0794661947,57406.1787604549,65365.948511045
BGD,1255.59711373411,1313.18582166497,1371.07675772452,1431.16046892709,1490.37912131099,1574.52564660474,1659.89546399693,1718.08388014297,1803.27026475754,1916.67979538928,2074.25063605185,2253.43135010045,2451.94395466358,2626.06271790411,2751.24468002028,2906.46775125757,3119.92997299708,3501.55557376082,3751.06108589874,4023.54114557771,4253.68769851408,4608.57465239377,4894.44219729247,5484.7635465215,6025.08734934947,6596.04459830619,7366.48997079065,8354.71586776861
BLR,3850.23295896026,4044.09446066085,4601.89591988336,5067.29184678195,5337.69216262836,5802.47334124907,6245.4404594946,6705.03647172701,7370.38587552736,8492.90403784145,9648.23310764346,11007.5380432626,12334.5238793285,13902.4744631935,14050.7084356185,15364.0298436357,16563.2014078209,18114.7508606708,19014.0529737698,19037.8209530599,18133.5696288889,17832.4778855815,18413.7127377197,20026.0306698699,22301.5766886376,24872.3398993711,27611.1801135156,28406.0661481964
BRA,8008.75726579725,8208.91899338111,8505.40753135029,8504.28362487004,8542.79315516793,8995.8518938603,9203.89733855784,9511.45399125227,9694.26570614553,10409.0762534616,10956.1229210525,11615.6404617041,12524.5680406443,13284.3946898934,13222.8776942858,14256.5594677776,14989.1577837574,14962.368438953,15469.5353944917,15564.8009999636,14567.7060619891,14057.3132470451,14293.6046394285,15165.0631526578,15741.4785048749,15759.0782300803,17672.9168034655,19398.5898133446
CAN,23485.6419280395,24050.1750062174,25258.8605604948,26319.6741635104,27841.3533496575,29362.0841609786,30230.8487685762,30963.9218856684,32351.5456968698,33927.6696952532,36328.378994377,38119.3909593545,39575.4770075876,40376.0882836384,38864.0566958538,40098.2537191139,41666.8374590278,42291.9729357094,44301.0562529133,45758.1007297304,44668.0912814303,46470.6466391111,48317.3874457165,49982.5999118348,50498.9731057448,48590.6832121939,55781.6990272912,62041.5620298406
CHE,30821.4370522444,31497.7419568964,32728.0114219533,33857.6531675935,34742.6318631555,36695.2070554187,37822.9275072501,38704.9584597242,38737.3079261209,40176.5707415374,41524.8488732932,46275.5494842863,50929.4927044896,53808.7841127066,52971.3732760585,54432.3330821362,57493.5810559211,59440.9158607666,61656.4661708516,63417.0437157565,65265.04573356,67350.7518747757,68193.5054944094,70688.8187491194,73732.2353322093,72997.8239503282,81603.2073073193,90746.4532786
CHL,7250.18876163771,7959.48575350229,8581.43649230191,8927.83644158307,8921.98604843212,9468.31876647394,9876.22507775463,10239.3852879029,10820.6716212007,11735.1761702174,12685.0279639491,15676.5834282108,16875.7145632511,16550.4489137323,16118.3767465,18104.7245957743,20330.5245988853,21584.6812672625,22425.5894158104,22779.4276703281,22691.4866244485,23492.2878567238,24546.9124213942,25564.5367168945,25824.646525455,25443.2140146182,29050.0807938778,31586.1368981832
CHN,1860.68730801948,2061.04370100121,2266.92235101644,2448.65094287971,2650.51452387721,2917.6021545082,3208.58583841354,3532.31565803443,3939.01885590604,4427.65713773976,5056.98752561594,5843.35309098914,6820.04084658142,7583.34889620177,8305.84110002707,9256.10388205582,10292.9404780675,11233.9727678781,12011.6805856079,12700.4440173922,13201.6738280782,13882.0280462079,14750.3658330379,16006.9131210004,17262.1759037355,17891.4802869971,20406.7296584605,22499.4426677018
COL,6475.64390554926,6608.06218557483,6829.66808340567,6826.34093638474,6521.79090034921,6754.29733112748,6912.49419692573,7086.09024457571,7398.72554971936,7889.38757273367,8413.96651186884,9136.57718441304,9892.99669956688,10293.7728150235,10357.4349872526,10831.7448244597,11694.7266079337,12075.481764005,12756.0210652139,13323.1690837161,13289.6744891676,13971.3395877313,14334.9146083622,15161.3179744309,16091.4990479231,15427.593780784,17587.2317932888,21055.6630300002
CYP,17084.48828125,17313.615234375,17777.412109375,18758.650390625,19662.755859375,21291.26171875,22868.8046875,24013.322265625,24280.91015625,25945.201171875,27762.90234375,30015.078125,32888.51171875,34829.3359375,33883.25,33504.37890625,33404.21875,31922.306640625,30450.125,30168.916015625,31920.009765625,35877.1015625,38411.4140625,40673.7265625,44685.13671875,42796.03515625,48466.84375,53776.30859375
DEU,23548.8341251243,24070.1192352083,24568.1428908736,25344.8813185293,26291.2110793898,27202.4760848567,28376.9040865111,29178.6374658122,29909.8087206449,31334.731516716,31794.0960095207,34160.1031115569,36295.7184317891,37802.3874303197,36814.7547339146,38945.9217348604,42541.5310884096,43359.6148271723,44993.8927459315,47011.5510935131,47609.7810045816,50579.6839299266,53071.4555699913,55195.8405428372,58251.7730828469,57905.1795514844,61939.6515850137,66616.022245056
EGY,4332.76358923456,4533.40414660063,4761.12931440273,4975.22561181531,5239.16549195859,5582.27567096494,5789.47390502415,5895.39588743865,6075.59024708131,6363.66063666962,6722.02777516483,7260.83184299592,7831.77255711,8388.04140430012,8663.08686691346,9034.63699841388,9178.85358944855,10560.1416087606,10731.5388864646,10464.1924134677,11112.3736247025,10864.5381900455,11333.1184260928,12559.9651691847,13608.499714576,15494.0788227574,15820.6713809388,17769.2237397576
ESP,16276.7427388216,16973.8523441756,17909.4373888597,19096.4829793645,19954.2902150512,21586.9938141957,22955.966663531,24371.5988492666,25047.4962458438,26144.3831604637,27606.9340516269,30720.0135089141,32476.891305261,33263.2723985249,32091.4271030562,31677.2223884807,31867.9732396862,31720.2738156972,32444.4611896857,33540.3571743561,34919.3872520672,37305.6291510563,39550.1890761123,40716.6807627631,43739.63291058,38967.339917953,43620.6040614123,48685.4963088272
FIN,19573.7479251069,20080.8401640329,21790.4773658676,23576.7795859034,24767.280673451,26788.1090073235,27803.9084926269,28605.1223159604,29053.1101567343,31202.6326662541,32051.7940038456,34454.8883772759,37846.9232155282,40083.6972699668,37971.1688218955,38949.7244997518,40916.8385790274,40873.0953326066,41493.1416470359,41757.4021894413,42497.7049785783,44934.4482077785,47570.133583848,49579.3310008278,52569.8000550589,53668.8190916817,57788.9034581748,62599.0055596323
GEO,1918.76988590551,2253.09523343784,2615.64621065829,2795.39447711303,2976.8579732773,3161.1958249061,3440.72817917034,3718.686932548,4239.93841369182,4634.77757600295,5271.95095255549,5980.44390474304,6951.08584255576,7278.66312182282,7119.14279085284,7711.80683881969,8563.83554915647,10059.9820603954,10797.3423273476,11770.6989360253,12269.6528932768,13065.294157468,13718.9378669764,15021.9057577433,16770.1333771469,16791.2598654465,18915.6534005263,22442.7867177574
HKG,24713.2133730487,25098.2457624482,26610.6088838701,25116.1144102912,25861.831795005,28224.5271383299,28808.8083140283,29609.7683686054,31178.6704247836,34532.2342491404,38079.5341034128,41745.4522251289,45257.6006156745,46830.2161448169,45861.4854829981,49197.6435993206,52277.4664432843,52149.6812694206,53517.419549888,54514.9268059819,56043.042695697,56761.4824132224,59260.9131761938,60900.2752924537,61221.4195400701,58187.4764072535,65884.9376260603,68547.6394666321
HUN,9186.03756222838,9349.01376457259,9823.02576267536,10398.0292525261,10873.2478627727,11854.683416267,13211.8270609093,14526.3882629125,15479.1010781197,16269.308764051,17108.3405820025,18383.6322203338,19098.6263069875,20721.5024106144,20722.06533653,21738.8965943079,23029.4471782091,23267.448392909,24547.9805346257,25691.5272556351,26798.8541676269,27941.9268571832,29496.1636824744,31908.863454349,35152.6036961244,35029.9132233256,38647.9980847097,43577.8871406067
